,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-029,0.16,RFU,hamblin,blank,int,2,blank,31,8,2021,na,G04
SAMPLE-030,115.42,RFU,hamblin,1,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-031,112.76,RFU,hamblin,1,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-032,144.36,RFU,hamblin,2,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-033,142.61,RFU,hamblin,2,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-034,131.29,RFU,hamblin,3,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-035,128.2,RFU,hamblin,3,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-036,148.16,RFU,hamblin,4,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-037,142.74,RFU,hamblin,4,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-038,118.41,RFU,hamblin,B,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-039,121.02,RFU,hamblin,B,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-040,110.29,RFU,hamblin,B,int,3,chla_rfu,31,8,2021,250,G04
SAMPLE-042,0.09,RFU,shubael,blank,int,1,blank,31,8,2021,na,G04
SAMPLE-043,0.12,RFU,shubael,blank,int,2,blank,31,8,2021,na,G04
SAMPLE-044,241.85,RFU,shubael,1,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-045,234.12,RFU,shubael,1,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-046,280.19,RFU,shubael,2,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-047,266.43,RFU,shubael,2,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-048,291.34,RFU,shubael,3,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-049,298.43,RFU,shubael,3,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-050,303.28,RFU,shubael,4,int,1,chla_rfu,31,8,2021,250,G04
SAMPLE-051,303.69,RFU,shubael,4,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-052,282.05,RFU,shubael,B,int,1,chla_rfu,31,8,2021,250,G04
AMPLE-053,288.77,RFU,shubael,B,int,2,chla_rfu,31,8,2021,250,G04
SAMPLE-054,276.41,RFU,shubael,B,int,3,chla_rfu,31,8,2021,250,G04
SAMPLE-055,0.12,RFU,hamblin,blank,int,1,blank,15,9,2021,na,G04
SAMPLE-056,0.25,RFU,hamblin,blank,int,2,blank,15,9,2021,na,G04
SAMPLE-057,221.71,RFU,hamblin,1,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-058,221.24,RFU,hamblin,1,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-059,334.23,RFU,hamblin,2,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-060,331.51,RFU,hamblin,2,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-061,306.17,RFU,hamblin,3,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-062,297.75,RFU,hamblin,3,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-063,165.9,RFU,hamblin,4,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-064,177.24,RFU,hamblin,4,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-065,226.85,RFU,hamblin,B,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-066,232.34,RFU,hamblin,B,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-067,217.15,RFU,hamblin,B,int,3,chla_rfu,15,9,2021,250,G04
SAMPLE-068,0.17,RFU,shubael,blank,int,1,blank,15,9,2021,na,G04
SAMPLE-069,0.17,RFU,shubael,blank,int,2,blank,15,9,2021,na,G04
SAMPLE-070,254.57,RFU,shubael,1,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-071,256.41,RFU,shubael,1,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-072,213.67,RFU,shubael,2,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-073,204.67,RFU,shubael,2,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-074,266.02,RFU,shubael,3,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-075,258.35,RFU,shubael,3,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-076,247.94,RFU,shubael,4,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-077,239.15,RFU,shubael,4,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-078,248.9,RFU,shubael,B,int,1,chla_rfu,15,9,2021,250,G04
SAMPLE-079,249.78,RFU,shubael,B,int,2,chla_rfu,15,9,2021,250,G04
SAMPLE-080,274.44,RFU,shubael,B,int,3,chla_rfu,15,9,2021,250,G04
SAMPLE-081,0.23,RFU,hamblin,blank,int,1,blank,13,10,2021,na,G04
SAMPLE-082,0.16,RFU,hamblin,blank,int,2,blank,13,10,2021,na,G04
SAMPLE-083,245.86,RFU,hamblin,B,int,1,chla_rfu,13,10,2021,250,G04
SAMPLE-084,230.14,RFU,hamblin,B,int,2,chla_rfu,13,10,2021,250,G04
SAMPLE-085,245.46,RFU,hamblin,B,int,1,chla_rfu,13,10,2021,250,G04
SAMPLE-086,0.13,RFU,shubael,blank,int,1,blank,13,10,2021,na,G04
SAMPLE-087,0.16,RFU,shubael,blank,int,2,blank,13,10,2021,na,G04
SAMPLE-088,342.4,RFU,shubael,B,int,1,chla_rfu,13,10,2021,250,G04
SAMPLE-089,339.72,RFU,shubael,B,int,2,chla_rfu,13,10,2021,250,G04
SAMPLE-090,336.27,RFU,shubael,B,int,1,chla_rfu,13,10,2021,250,G04
SAMPLE-108,0.28,RFU,hamblin,blank,int,1,blank,4,11,2021,na,G04
SAMPLE-109,0.31,RFU,hamblin,blank,int,2,blank,4,11,2021,na,G04
SAMPLE-110,171.08,RFU,hamblin,1,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-111,168.29,RFU,hamblin,1,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-112,139.32,RFU,hamblin,2,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-113,131.36,RFU,hamblin,2,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-114,140.89,RFU,hamblin,3,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-115,131.97,RFU,hamblin,3,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-116,154.56,RFU,hamblin,4,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-117,159.01,RFU,hamblin,4,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-118,119.65,RFU,hamblin,B,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-119,120.55,RFU,hamblin,B,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-120,109.49,RFU,hamblin,B,int,3,chla_rfu,4,11,2021,250,G04
SAMPLE-121,0.11,RFU,shubael,blank,int,1,blank,4,11,2021,na,G04
SAMPLE-122,0.17,RFU,shubael,blank,int,2,blank,4,11,2021,na,G04
SAMPLE-123,1009.53,RFU,shubael,1,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-124,1024.71,RFU,shubael,1,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-125,1036.34,RFU,shubael,2,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-126,1034.71,RFU,shubael,2,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-127,1024.08,RFU,shubael,3,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-128,1114.32,RFU,shubael,3,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-129,1025.11,RFU,shubael,4,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-130,1015.54,RFU,shubael,4,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-131,1057.16,RFU,shubael,B,int,1,chla_rfu,4,11,2021,250,G04
SAMPLE-132,1058.16,RFU,shubael,B,int,2,chla_rfu,4,11,2021,250,G04
SAMPLE-133,1119.81,RFU,shubael,B,int,3,chla_rfu,4,11,2021,250,G04
SAMPLE-134,135.69,RFU,na,solid std,na,na,chla_rfu,18,11,2021,na,G04
